comparison,condition_a,condition_b,qwk_a,qwk_b,qwk_diff,prompts_positive,prompts_total,qwk_diff_mean,ci_lower,ci_upper,p_positive
N2_vs_N1,N2,N1,0.8324401054974595,0.8266951727081251,0.0057449327893344115,10,15,0.005758167172443551,-0.00027536683882620195,0.011537063421004745,0.97
T3_vs_T2,T3,T2,0.8369936656783136,0.8284136452216019,0.00858002045671169,12,15,0.008603503915339568,0.003250079624581173,0.014126138324887905,1.0
N2_vs_NS_s13,N2,NS_s13,0.8324401054974595,0.8252116541164132,0.00722845138104633,10,15,0.007247042866897998,0.0014612961644219935,0.013033423668788307,0.997
T3_vs_TS_s13,T3,TS_s13,0.8369936656783136,0.8307901720431462,0.0062034936351673675,12,15,0.006182322177371084,0.0007658764023343561,0.011710450477408966,0.988
N2_vs_NS_s21,N2,NS_s21,0.8324401054974595,0.821732036268785,0.01070806922867451,14,15,0.010695478199361407,0.005307563215942756,0.016071439043562275,1.0
T3_vs_TS_s21,T3,TS_s21,0.8369936656783136,0.8299796984309425,0.007013967247371022,11,15,0.007039968011036795,0.001945576930665985,0.012334183665366663,0.9965
N2_vs_NS_s42,N2,NS_s42,0.8324401054974595,0.8244380710929422,0.0080020344045173,12,15,0.007945132796250417,0.0026678625258652667,0.013557949545078675,0.999
T3_vs_TS_s42,T3,TS_s42,0.8369936656783136,0.8278525022462566,0.009141163432056953,10,15,0.009188821937098435,0.0040131253485254596,0.014242048323533136,1.0
N2_vs_NS_s87,N2,NS_s87,0.8324401054974595,0.8204830917707275,0.011957013726731969,14,15,0.011929691664312745,0.00596781476729176,0.018024861301454052,1.0
T3_vs_TS_s87,T3,TS_s87,0.8369936656783136,0.8284644371874127,0.008529228490900875,12,15,0.008632839927277758,0.003343731704689451,0.01384040041256789,1.0
N2_vs_NS_s101,N2,NS_s101,0.8324401054974595,0.8221513625351349,0.010288742962324626,12,15,0.010296814301583095,0.004296017490136977,0.015956039266939528,0.9995
T3_vs_TS_s101,T3,TS_s101,0.8369936656783136,0.8290366355418478,0.00795703013646576,11,15,0.00800040238413907,0.003190520167231678,0.012941967535901884,0.9995
