condition,prompt_name,n_essays,qwk
T2,"""A Cowboy Who Rode the Waves""",127,0.7187361582755056
T2,Car-free cities,190,0.779131181926158
T2,Cell phones at school,152,0.7234177215189874
T2,Community service,142,0.6192856493683541
T2,Distance learning,288,0.8426284398869939
T2,Does the electoral college work?,356,0.778009254338414
T2,Driverless cars,295,0.6912658714890343
T2,Exploring Venus,196,0.8096566149555516
T2,Facial action coding system,220,0.7622242098986285
T2,Grades for extracurricular activities,175,0.7622017776391704
T2,Mandatory extracurricular activities,177,0.797366914710933
T2,Phones and driving,138,0.7628226730471119
T2,Seeking multiple opinions,331,0.7552736766710566
T2,Summer projects,172,0.6707383773928897
T2,The Face on Mars,160,0.7598515445912017
T3,"""A Cowboy Who Rode the Waves""",127,0.7635686667621366
T3,Car-free cities,190,0.8166814777199441
T3,Cell phones at school,152,0.7313854853911403
T3,Community service,142,0.6494788809654416
T3,Distance learning,288,0.8606213266162889
T3,Does the electoral college work?,356,0.7733500263199078
T3,Driverless cars,295,0.6941361698859491
T3,Exploring Venus,196,0.7979728568974402
T3,Facial action coding system,220,0.7923940737944701
T3,Grades for extracurricular activities,175,0.7446173188747446
T3,Mandatory extracurricular activities,177,0.8111479028697571
T3,Phones and driving,138,0.8006182380216383
T3,Seeking multiple opinions,331,0.7653238801160167
T3,Summer projects,172,0.6751214247166757
T3,The Face on Mars,160,0.7807017543859649
POS,"""A Cowboy Who Rode the Waves""",127,0.7313689802744847
POS,Car-free cities,190,0.8194852306097772
POS,Cell phones at school,152,0.7320799059929495
POS,Community service,142,0.7151028771450525
POS,Distance learning,288,0.8490245971162002
POS,Does the electoral college work?,356,0.7735180009177756
POS,Driverless cars,295,0.7149328099048771
POS,Exploring Venus,196,0.8244365361803084
POS,Facial action coding system,220,0.7979084228377615
POS,Grades for extracurricular activities,175,0.7553440966898168
POS,Mandatory extracurricular activities,177,0.8159176747495758
POS,Phones and driving,138,0.8235525539308898
POS,Seeking multiple opinions,331,0.7425081565594993
POS,Summer projects,172,0.686188651705893
POS,The Face on Mars,160,0.8033115905669844
TRANS,"""A Cowboy Who Rode the Waves""",127,0.7457820989419502
TRANS,Car-free cities,190,0.7949622933753142
TRANS,Cell phones at school,152,0.7307086614173228
TRANS,Community service,142,0.640589047399908
TRANS,Distance learning,288,0.8477923689380622
TRANS,Does the electoral college work?,356,0.7745619400568489
TRANS,Driverless cars,295,0.68741415172089
TRANS,Exploring Venus,196,0.7952289744036218
TRANS,Facial action coding system,220,0.7879109225874867
TRANS,Grades for extracurricular activities,175,0.7377026842894128
TRANS,Mandatory extracurricular activities,177,0.7931667686828779
TRANS,Phones and driving,138,0.761847869374751
TRANS,Seeking multiple opinions,331,0.7608620314950455
TRANS,Summer projects,172,0.6681367144432194
TRANS,The Face on Mars,160,0.7679080071737525
NO_TRANS,"""A Cowboy Who Rode the Waves""",127,0.7402615933412604
NO_TRANS,Car-free cities,190,0.7945842657078923
NO_TRANS,Cell phones at school,152,0.687593423019432
NO_TRANS,Community service,142,0.5967036036874942
NO_TRANS,Distance learning,288,0.8235866392822397
NO_TRANS,Does the electoral college work?,356,0.7241487736950858
NO_TRANS,Driverless cars,295,0.6930140026015763
NO_TRANS,Exploring Venus,196,0.7373916121040525
NO_TRANS,Facial action coding system,220,0.7225994180407371
NO_TRANS,Grades for extracurricular activities,175,0.678293660146123
NO_TRANS,Mandatory extracurricular activities,177,0.7868814861533169
NO_TRANS,Phones and driving,138,0.7728944820909971
NO_TRANS,Seeking multiple opinions,331,0.7355094933689533
NO_TRANS,Summer projects,172,0.6639344262295082
NO_TRANS,The Face on Mars,160,0.7510101561646828
LABELPOS,"""A Cowboy Who Rode the Waves""",127,0.7637209302325582
LABELPOS,Car-free cities,190,0.7961932796168334
LABELPOS,Cell phones at school,152,0.6840855106888362
LABELPOS,Community service,142,0.5890675241157557
LABELPOS,Distance learning,288,0.825372811757078
LABELPOS,Does the electoral college work?,356,0.727320726093714
LABELPOS,Driverless cars,295,0.6884995026398347
LABELPOS,Exploring Venus,196,0.7392692444129123
LABELPOS,Facial action coding system,220,0.7279340446168768
LABELPOS,Grades for extracurricular activities,175,0.684025468022427
LABELPOS,Mandatory extracurricular activities,177,0.7845978322875071
LABELPOS,Phones and driving,138,0.7711734693877551
LABELPOS,Seeking multiple opinions,331,0.7319550797299068
LABELPOS,Summer projects,172,0.6679061784897025
LABELPOS,The Face on Mars,160,0.755443526761772
TS,"""A Cowboy Who Rode the Waves""",127,0.7368905667326551
TS,Car-free cities,190,0.8004151163085023
TS,Cell phones at school,152,0.7128463476070529
TS,Community service,142,0.6538461538461539
TS,Distance learning,288,0.8364594309799789
TS,Does the electoral college work?,356,0.771650947452914
TS,Driverless cars,295,0.7057076495449872
TS,Exploring Venus,196,0.8076592821569638
TS,Facial action coding system,220,0.797832233741753
TS,Grades for extracurricular activities,175,0.7216541695069303
TS,Mandatory extracurricular activities,177,0.8017766641990776
TS,Phones and driving,138,0.7645372645372646
TS,Seeking multiple opinions,331,0.7605159908942783
TS,Summer projects,172,0.6556516936671577
TS,The Face on Mars,160,0.7608881298035867
RB,"""A Cowboy Who Rode the Waves""",127,0.7352818565009959
RB,Car-free cities,190,0.7762588638865422
RB,Cell phones at school,152,0.7160572337042925
RB,Community service,142,0.618421052631579
RB,Distance learning,288,0.8308561858907264
RB,Does the electoral college work?,356,0.7641325952681185
RB,Driverless cars,295,0.6978087572688412
RB,Exploring Venus,196,0.8058589010227075
RB,Facial action coding system,220,0.7980448259418217
RB,Grades for extracurricular activities,175,0.735383064516129
RB,Mandatory extracurricular activities,177,0.8007205584327854
RB,Phones and driving,138,0.7580228941970489
RB,Seeking multiple opinions,331,0.7620778522548636
RB,Summer projects,172,0.6662100456621005
RB,The Face on Mars,160,0.7468625978762201
RND,"""A Cowboy Who Rode the Waves""",127,0.7328408590577761
RND,Car-free cities,190,0.7770909549640469
RND,Cell phones at school,152,0.7367758186397986
RND,Community service,142,0.6233766233766234
RND,Distance learning,288,0.8374624235513631
RND,Does the electoral college work?,356,0.7706088646638779
RND,Driverless cars,295,0.6821854559445941
RND,Exploring Venus,196,0.8144578313253013
RND,Facial action coding system,220,0.7681686046511628
RND,Grades for extracurricular activities,175,0.72377559303689
RND,Mandatory extracurricular activities,177,0.8030774452678622
RND,Phones and driving,138,0.7557929883138564
RND,Seeking multiple opinions,331,0.7436853834286019
RND,Summer projects,172,0.6850813743218807
RND,The Face on Mars,160,0.7553910524621822
COUNTS_TRANS,"""A Cowboy Who Rode the Waves""",127,0.7457820989419502
COUNTS_TRANS,Car-free cities,190,0.7949622933753142
COUNTS_TRANS,Cell phones at school,152,0.7307086614173228
COUNTS_TRANS,Community service,142,0.640589047399908
COUNTS_TRANS,Distance learning,288,0.8477923689380622
COUNTS_TRANS,Does the electoral college work?,356,0.7745619400568489
COUNTS_TRANS,Driverless cars,295,0.68741415172089
COUNTS_TRANS,Exploring Venus,196,0.7952289744036218
COUNTS_TRANS,Facial action coding system,220,0.7879109225874867
COUNTS_TRANS,Grades for extracurricular activities,175,0.7377026842894128
COUNTS_TRANS,Mandatory extracurricular activities,177,0.7931667686828779
COUNTS_TRANS,Phones and driving,138,0.761847869374751
COUNTS_TRANS,Seeking multiple opinions,331,0.7608620314950455
COUNTS_TRANS,Summer projects,172,0.6681367144432194
COUNTS_TRANS,The Face on Mars,160,0.7679080071737525
POS_TRANS,"""A Cowboy Who Rode the Waves""",127,0.7421894340743675
POS_TRANS,Car-free cities,190,0.816851627573593
POS_TRANS,Cell phones at school,152,0.7583555161194913
POS_TRANS,Community service,142,0.7105486665534229
POS_TRANS,Distance learning,288,0.852511125238398
POS_TRANS,Does the electoral college work?,356,0.7747389882940205
POS_TRANS,Driverless cars,295,0.710685368913217
POS_TRANS,Exploring Venus,196,0.8157583937911254
POS_TRANS,Facial action coding system,220,0.7999813502424469
POS_TRANS,Grades for extracurricular activities,175,0.7544051146109465
POS_TRANS,Mandatory extracurricular activities,177,0.828099708643574
POS_TRANS,Phones and driving,138,0.8219413749751869
POS_TRANS,Seeking multiple opinions,331,0.7415677701436603
POS_TRANS,Summer projects,172,0.7020874572611121
POS_TRANS,The Face on Mars,160,0.7769977286805699
REAL_BOUNDARY_SHUFFLED_LABEL,"""A Cowboy Who Rode the Waves""",127,0.7368905667326551
REAL_BOUNDARY_SHUFFLED_LABEL,Car-free cities,190,0.8004151163085023
REAL_BOUNDARY_SHUFFLED_LABEL,Cell phones at school,152,0.7128463476070529
REAL_BOUNDARY_SHUFFLED_LABEL,Community service,142,0.6538461538461539
REAL_BOUNDARY_SHUFFLED_LABEL,Distance learning,288,0.8364594309799789
REAL_BOUNDARY_SHUFFLED_LABEL,Does the electoral college work?,356,0.771650947452914
REAL_BOUNDARY_SHUFFLED_LABEL,Driverless cars,295,0.7057076495449872
REAL_BOUNDARY_SHUFFLED_LABEL,Exploring Venus,196,0.8076592821569638
REAL_BOUNDARY_SHUFFLED_LABEL,Facial action coding system,220,0.797832233741753
REAL_BOUNDARY_SHUFFLED_LABEL,Grades for extracurricular activities,175,0.7216541695069303
REAL_BOUNDARY_SHUFFLED_LABEL,Mandatory extracurricular activities,177,0.8017766641990776
REAL_BOUNDARY_SHUFFLED_LABEL,Phones and driving,138,0.7645372645372646
REAL_BOUNDARY_SHUFFLED_LABEL,Seeking multiple opinions,331,0.7605159908942783
REAL_BOUNDARY_SHUFFLED_LABEL,Summer projects,172,0.6556516936671577
REAL_BOUNDARY_SHUFFLED_LABEL,The Face on Mars,160,0.7608881298035867
RANDOM_BOUNDARY_TRUE_SEQUENCE,"""A Cowboy Who Rode the Waves""",127,0.7671748359706676
RANDOM_BOUNDARY_TRUE_SEQUENCE,Car-free cities,190,0.8042015346030642
RANDOM_BOUNDARY_TRUE_SEQUENCE,Cell phones at school,152,0.7220666044195456
RANDOM_BOUNDARY_TRUE_SEQUENCE,Community service,142,0.641025641025641
RANDOM_BOUNDARY_TRUE_SEQUENCE,Distance learning,288,0.8534401998542729
RANDOM_BOUNDARY_TRUE_SEQUENCE,Does the electoral college work?,356,0.770063799401477
RANDOM_BOUNDARY_TRUE_SEQUENCE,Driverless cars,295,0.6953290039902981
RANDOM_BOUNDARY_TRUE_SEQUENCE,Exploring Venus,196,0.7912983185994107
RANDOM_BOUNDARY_TRUE_SEQUENCE,Facial action coding system,220,0.788662239089184
RANDOM_BOUNDARY_TRUE_SEQUENCE,Grades for extracurricular activities,175,0.7397007121608221
RANDOM_BOUNDARY_TRUE_SEQUENCE,Mandatory extracurricular activities,177,0.8037214547504934
RANDOM_BOUNDARY_TRUE_SEQUENCE,Phones and driving,138,0.7721237446923233
RANDOM_BOUNDARY_TRUE_SEQUENCE,Seeking multiple opinions,331,0.7484862156578729
RANDOM_BOUNDARY_TRUE_SEQUENCE,Summer projects,172,0.6666970636512857
RANDOM_BOUNDARY_TRUE_SEQUENCE,The Face on Mars,160,0.7685336827164537
BOUNDARY_ONLY,"""A Cowboy Who Rode the Waves""",127,0.7313689802744847
BOUNDARY_ONLY,Car-free cities,190,0.8194852306097772
BOUNDARY_ONLY,Cell phones at school,152,0.7320799059929495
BOUNDARY_ONLY,Community service,142,0.7151028771450525
BOUNDARY_ONLY,Distance learning,288,0.8490245971162002
BOUNDARY_ONLY,Does the electoral college work?,356,0.7735180009177756
BOUNDARY_ONLY,Driverless cars,295,0.7149328099048771
BOUNDARY_ONLY,Exploring Venus,196,0.8244365361803084
BOUNDARY_ONLY,Facial action coding system,220,0.7979084228377615
BOUNDARY_ONLY,Grades for extracurricular activities,175,0.7553440966898168
BOUNDARY_ONLY,Mandatory extracurricular activities,177,0.8159176747495758
BOUNDARY_ONLY,Phones and driving,138,0.8235525539308898
BOUNDARY_ONLY,Seeking multiple opinions,331,0.7425081565594993
BOUNDARY_ONLY,Summer projects,172,0.686188651705893
BOUNDARY_ONLY,The Face on Mars,160,0.8033115905669844
T3_PLUS_POS,"""A Cowboy Who Rode the Waves""",127,0.7570272259013981
T3_PLUS_POS,Car-free cities,190,0.8044040475054611
T3_PLUS_POS,Cell phones at school,152,0.7259615384615385
T3_PLUS_POS,Community service,142,0.7105486665534229
T3_PLUS_POS,Distance learning,288,0.8583324549383367
T3_PLUS_POS,Does the electoral college work?,356,0.7817312947573468
T3_PLUS_POS,Driverless cars,295,0.7038729492845907
T3_PLUS_POS,Exploring Venus,196,0.8113011923276309
T3_PLUS_POS,Facial action coding system,220,0.8207235331925443
T3_PLUS_POS,Grades for extracurricular activities,175,0.7565730964814266
T3_PLUS_POS,Mandatory extracurricular activities,177,0.8206102725594527
T3_PLUS_POS,Phones and driving,138,0.8315629742033384
T3_PLUS_POS,Seeking multiple opinions,331,0.738955871282278
T3_PLUS_POS,Summer projects,172,0.6966964285714285
T3_PLUS_POS,The Face on Mars,160,0.7968734441899831
