condition,task_type,qwk_mean
D0,ALL,0.0028199106541174266
D0,Independent,-0.029582737201973835
D0,Text dependent,0.06143410257583307
D2,ALL,-0.005654831711906283
D2,Independent,-0.03311117720905058
D2,Text dependent,0.06588762390922216
D_POS,ALL,0.07999185159198767
D_POS,Independent,0.07957734212795427
D_POS,Text dependent,0.13813109025512482
D_RANDOM,ALL,0.0023159585195286305
D_RANDOM,Independent,-0.008062381352540523
D_RANDOM,Text dependent,0.09667922561476087
D_SHUFFLED,ALL,0.014091600479193259
D_SHUFFLED,Independent,0.0011813372531512083
D_SHUFFLED,Text dependent,0.10855623436953765
D_STRUCT,ALL,0.05660036268919063
D_STRUCT,Independent,0.06429967826503724
D_STRUCT,Text dependent,0.13463443683436524
